Date,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Operating Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2021-01-31,5003,61.13%,1847,3156,503,1146,0,1649,1507,53,-16,1470,13,1457,53.21%,2476,2528,1.77%,0.59,0.58,51.83%,2067,1784,35.15%,0.72,0.040,0%,63.08%,30.12%,29.12%,35.66%,0.88%,1811,36.20%,288,1523,30.44%
2020-10-25,4726,56.80%,1766,2960,515,1047,0,1562,1398,53,-3,1348,12,1336,48.61%,2472,2520,1.94%,0.54,0.53,46.41%,1279,806,-47.56%,0.33,0.040,0%,62.63%,29.58%,28.27%,17.05%,0.89%,1700,35.97%,299,1401,29.64%
2020-07-26,3866,49.90%,1591,2275,627,997,0,1624,651,54,-12,609,-13,622,12.68%,2464,2504,1.62%,0.25,0.25,11.11%,1567,1350,64.03%,0.55,0.040,0%,58.85%,16.84%,16.09%,34.92%,-2.13%,1067,27.60%,404,663,17.15%
2020-04-26,3080,38.74%,1076,2004,293,735,0,1028,976,25,-30,981,64,917,132.74%,2456,2488,0.97%,0.37,0.37,129.37%,909,754,27.36%,0.31,0.040,0%,65.06%,31.69%,29.77%,24.48%,6.52%,1113,36.14%,107,1006,32.66%
2020-01-26,3105,40.82%,1090,2015,287,738,0,1025,990,13,-39,1016,65,951,68.02%,2448,2484,-0.16%,0.39,0.38,66.09%,1465,1320,89.93%,0.54,0.040,0%,64.90%,31.88%,30.63%,42.51%,6.40%,1135,36.55%,106,1029,33.14%
2019-10-27,3014,-5.25%,1098,1916,277,712,0,989,927,13,-45,959,60,899,-26.91%,2440,2472,-1.12%,0.37,0.36,-26.42%,1640,1537,356.08%,0.63,0.040,8.11%,63.57%,30.76%,29.83%,51.00%,6.26%,1064,35.30%,92,972,32.25%
2019-07-28,2579,-17.42%,1038,1541,266,704,0,970,571,13,-48,606,54,552,-49.86%,2436,2464,-1.60%,0.23,0.23,-48.86%,936,823,4.97%,0.34,0.040,8.11%,59.75%,22.14%,21.40%,31.91%,8.91%,711,27.57%,92,619,24.00%
2019-04-28,2220,-30.78%,924,1296,264,674,0,938,358,13,-44,389,-5,394,-68.33%,2428,2464,-1.75%,0.16,0.16,-67.68%,720,592,-55.39%,0.24,0.040,8.11%,58.38%,16.13%,17.75%,26.67%,-1.29%,493,22.21%,91,402,18.11%
2019-01-27,2205,-24.25%,998,1207,266,647,0,913,294,14,-44,324,-242,566,-49.42%,2432,2488,-1.11%,0.23,0.23,-48.08%,898,695,-26.38%,0.29,0.040,8.11%,54.74%,13.33%,25.67%,31.52%,-74.69%,416,18.87%,78,338,15.33%
2018-10-28,3181,20.68%,1260,1921,258,605,0,863,1058,15,-38,1081,-149,1230,46.78%,2436,2500,-0.48%,0.51,0.49,47.75%,487,337,-69.03%,0.14,0.037,5.71%,60.39%,33.26%,38.67%,10.59%,-13.78%,1164,36.59%,68,1096,34.45%
2018-07-29,3123,40.04%,1148,1975,237,581,0,818,1157,14,-37,1180,79,1101,88.85%,2428,2504,-1.11%,0.45,0.44,91.30%,913,784,20.43%,0.32,0.037,5.71%,63.24%,37.05%,35.25%,25.10%,6.69%,1253,40.12%,59,1194,38.23%
2018-04-29,3207,65.57%,1139,2068,231,542,0,773,1295,15,-31,1311,67,1244,145.36%,2424,2508,-2.18%,0.51,0.49,150.00%,1445,1327,482.02%,0.55,0.037,5.71%,64.48%,40.38%,38.79%,41.38%,5.11%,1383,43.12%,57,1326,41.35%
2018-01-28,2911,33.96%,1110,1801,221,507,0,728,1073,15,-21,1079,-40,1119,71.10%,2420,2516,-8.58%,0.47,0.44,80.82%,1358,944,40.69%,0.39,0.037,5.71%,61.87%,36.86%,38.44%,32.43%,-3.71%,1148,39.44%,54,1094,37.58%
2017-10-29,2636,31.54%,1067,1569,212,462,0,674,895,15,-16,896,58,838,54.61%,2412,2512,-3.83%,0.35,0.33,60.87%,1157,1088,176.14%,0.45,0.035,20.69%,59.52%,33.95%,31.79%,41.27%,6.47%,960,36.42%,49,911,34.56%
2017-07-30,2230,56.16%,928,1302,198,416,0,614,688,15,-11,684,101,583,123.37%,2388,2532,-0.16%,0.24,0.23,125.49%,705,651,274.14%,0.27,0.035,20.69%,58.39%,30.85%,26.14%,29.19%,14.77%,748,33.54%,49,699,31.35%
2017-04-30,1937,48.43%,787,1150,185,411,0,596,554,16,2,536,29,507,143.75%,2368,2564,7.01%,0.21,0.20,127.59%,282,228,-13.64%,0.10,0.035,20.69%,59.37%,28.60%,26.17%,11.77%,5.41%,599,30.92%,47,552,28.50%
2017-01-29,2173,55.10%,870,1303,176,394,0,570,733,19,-11,725,71,654,214.42%,2224,2752,17.21%,0.30,0.24,172.22%,721,671,35.28%,0.30,0.035,20.69%,59.96%,33.73%,30.10%,30.88%,9.79%,791,36.40%,47,744,34.24%
2016-10-30,2004,53.56%,821,1183,171,373,0,544,639,16,2,621,79,542,120.33%,2152,2612,15.58%,0.25,0.21,88.18%,432,394,62.14%,0.18,0.029,20.83%,59.03%,31.89%,27.05%,19.66%,12.72%,685,34.18%,48,637,31.79%
2016-07-31,1428,23.85%,602,826,157,350,2,509,317,12,-12,317,56,261,903.85%,2136,2536,14.03%,0.12,0.10,684.62%,200,174,23.40%,0.08,0.029,20.83%,57.84%,22.20%,18.28%,12.18%,17.67%,376,26.33%,47,329,23.04%
2016-05-01,1305,13.38%,554,751,159,346,1,506,245,12,-8,241,33,208,55.22%,2148,2396,5.46%,0.10,0.09,45.00%,319,264,22.22%,0.12,0.029,38.10%,57.55%,18.77%,15.94%,20.23%,13.69%,298,22.84%,45,253,19.39%
2016-01-31,1401,11.99%,610,791,161,344,34,539,252,12,-14,254,46,208,7.22%,2160,2348,5.96%,0.10,0.09,2.27%,511,496,20.39%,0.23,0.029,38.10%,56.46%,17.99%,14.85%,35.40%,18.11%,312,22.27%,46,266,18.99%
2015-10-25,1305,6.53%,571,734,152,329,8,489,245,12,-12,245,-1,246,42.20%,2168,2260,1.25%,0.11,0.11,42.86%,255,243,37.29%,0.11,0.024,14.29%,56.25%,18.77%,18.85%,18.62%,-0.41%,305,23.37%,48,257,19.69%
2015-07-26,1153,4.53%,519,634,149,320,89,558,76,12,-8,72,46,26,-79.69%,2164,2224,-2.63%,0.01,0.01,-76.36%,163,141,93.15%,0.07,0.024,14.29%,54.99%,6.59%,2.25%,12.23%,63.89%,133,11.54%,49,84,7.29%
2015-04-26,1151,4.35%,498,653,138,339,0,477,176,12,-8,172,38,134,-2.19%,2196,2272,-0.35%,0.06,0.06,0%,246,216,51.05%,0.10,0.021,0%,56.73%,15.29%,11.64%,18.77%,22.09%,238,20.68%,54,184,15.99%
2015-01-25,1251,9.35%,552,699,119,349,0,468,231,11,-8,228,34,194,32.04%,2172,2216,-4.43%,0.09,0.09,41.94%,443,412,14.64%,0.19,0.021,0%,55.88%,18.47%,15.51%,32.93%,14.91%,293,23.42%,54,239,19.10%
2014-10-26,1225,16.23%,549,676,123,340,0,463,213,11,-7,209,36,173,45.70%,2192,2232,-5.22%,0.08,0.08,54.00%,216,177,42.56%,0.08,0.021,10.53%,55.18%,17.39%,14.12%,14.45%,17.22%,275,22.45%,55,220,17.96%
2014-07-27,1103,12.87%,484,619,119,337,0,456,163,12,-4,155,27,128,32.71%,2232,2284,-3.55%,0.06,0.06,37.50%,96,73,535.72%,0.03,0.021,10.53%,56.12%,14.78%,11.60%,6.62%,17.42%,223,20.22%,56,167,15.14%
2014-04-27,1103,15.53%,499,604,119,334,0,453,151,11,-23,163,26,137,75.89%,2236,2280,-7.96%,0.06,0.06,81.82%,151,143,30.02%,0.06,0.021,10.53%,54.76%,13.69%,12.42%,12.96%,15.95%,229,20.76%,55,174,15.78%
2014-01-26,1144,3.36%,524.58,619.48,115.98,336.81,0,452.78,166.7,7.49,-9.43,168.63,21.71,146.93,-15.55%,2276,2319,-6.79%,0.07,0.06,-11.43%,400.57,359.38,-10.88%,0.16,0.021,10.53%,54.15%,14.57%,12.84%,31.41%,12.87%,230.82,20.18%,54.69,176.13,15.39%
2013-10-27,1054,-12.47%,469.55,584.42,103.13,340.29,0,443.43,140.99,0.82,-1.32,141.48,22.75,118.73,-43.21%,2323,2355,-6.38%,0.05,0.05,-39.76%,162.32,124.16,-9.24%,0.05,0.019,-,55.45%,13.38%,11.27%,11.78%,16.08%,205.03,19.45%,62.73,142.3,13.50%
+64 Quarters,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
