Date,Net Income,Depreciation & Amortization,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Acquisitions,Change in Investments,Other Investing Activities,Investing Cash Flow,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Exchange Rate Effect,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin,Free Cash Flow Per Share
2015-12-31,-320.4,143.72,55.64,91.19,-29.85,-,-411.22,0,0,-3.06,-414.28,12.59,212.92,-0.47,225.04,-10.04,-229.13,-441.07,-,-36.32%,-0.22
2015-09-30,-229.86,110.37,56,-139.85,-203.34,-,-392.4,0,0,-11.69,-404.09,785.16,120.14,-11.31,893.98,-11.19,275.36,-595.74,-,-63.59%,-0.31
2015-06-30,-184.23,91.39,43.34,-110.01,-159.52,-,-405.17,-12.26,0,-5.41,-422.84,23.65,198.98,-4.29,218.35,4.6,-359.4,-564.68,-,-59.13%,-0.30
2015-03-31,-154.18,77.11,43.03,-97.75,-131.79,-,-426.06,0,0,-6.28,-432.34,35.22,151.9,-0.96,186.16,-17.66,-395.64,-557.85,-,-59.35%,-0.29
2014-12-31,-107.63,67.98,44.52,-91.27,-86.4,-,-368.66,0,-0.01,-3.56,-372.23,10.53,0.79,0,11.33,-17.71,-482.83,-455.06,-,-47.57%,-0.24
2014-09-30,-74.71,64.97,39.16,-57.42,-28,-,-284.18,0,-5.56,-1.91,-291.64,36.81,-3.06,-,33.75,-18.29,-286.36,-312.17,-,-36.65%,-0.17
2014-06-30,-61.9,54.72,35.78,-30.26,-1.66,-,-175.69,0,177.97,0.32,2.61,68.15,296.9,-83.56,281.49,-1.44,281,-177.35,-,-23.05%,-0.10
2014-03-31,-49.8,44.27,37.04,27.22,58.72,-8.36%,-141.36,0,-189.11,1.3,-329.18,374.13,1997,-555.02,1817,1.92,1548,-82.64,-,-13.32%,-0.04
2013-12-31,-16.26,37.59,25.17,87.5,133.99,-,-89.43,0,0,-0.07,-89.51,13.09,-2.05,-0.53,10.52,-4.23,48.19,44.55,-,7.24%,0.02
2013-09-30,-38.5,28.45,20.98,91.1,102.04,-,-76.55,0,0,-0.95,-77.5,27.13,-2.75,-0.17,24.22,0.31,48.75,25.49,-,5.91%,0.01
+18 Quarters,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
